"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8210","Login com sucesso usando Comando customizado","Funcionalidade Login","2026-02-06","passed","2026-02-06","","","",""
"","3472","Login usando fixture","Funcionalidade Login","2026-02-06","passed","2026-02-06","","","",""
"","41","Deve fazer login com sucesso - sem otimização","Funcionalidade Login","2026-02-06","skipped","2026-02-06","","","",""
"","40538","Deve fazer um pedido na loja Ebac Shop de ponta a ponta","Exercicio - Testes End-to-end - Fluxo de pedido","2026-02-06","passed","2026-02-06","","","",""
